,count,frequency,english_freq,difference
C,66,11.092436974789916,2.78,8.312436974789916
L,59,9.915966386554622,4.03,5.885966386554622
I,57,9.57983193277311,6.97,2.609831932773111
K,53,8.907563025210084,0.77,8.137563025210085
X,45,7.563025210084033,0.15,7.413025210084033
P,38,6.386554621848739,1.93,4.456554621848739
U,35,5.88235294117647,2.76,3.1223529411764703
A,28,4.705882352941177,8.17,-3.4641176470588233
W,27,4.53781512605042,2.36,2.17781512605042
B,27,4.53781512605042,1.29,3.24781512605042
O,20,3.361344537815126,7.51,-4.148655462184873
J,20,3.361344537815126,0.15,3.211344537815126
R,19,3.1932773109243695,5.99,-2.7967226890756307
Y,16,2.689075630252101,1.97,0.7190756302521011
S,14,2.3529411764705883,6.33,-3.9770588235294118
G,13,2.1848739495798317,2.02,0.1648739495798317
N,12,2.0168067226890756,6.75,-4.733193277310924
M,11,1.8487394957983194,2.41,-0.5612605042016807
T,11,1.8487394957983194,9.06,-7.211260504201681
V,10,1.680672268907563,0.98,0.7006722689075631
Q,8,1.3445378151260505,0.1,1.2445378151260504
D,3,0.5042016806722689,4.25,-3.745798319327731
H,2,0.33613445378151263,6.09,-5.753865546218488
F,1,0.16806722689075632,2.23,-2.061932773109244
E,0,0.0,12.7,-12.7
Z,0,0.0,0.07,-0.07
